Wall time,Step,Value
1647049102.7337897,0,0.11524205654859543
1647049704.5097978,1,0.08653281629085541
1647050305.9587886,2,0.08213331550359726
1647050910.4667563,3,0.07644277811050415
1647051512.0123622,4,0.07231628894805908
1647052109.8534715,5,0.07002680003643036
1647052707.6276786,6,0.0685611143708229
1647053309.0205035,7,0.06554217636585236
1647053905.9582796,8,0.06332273781299591
1647054508.751989,9,0.06330983340740204
1647055106.50436,10,0.06049535423517227
1647055706.7553294,11,0.059482790529727936
1647056305.890987,12,0.058858778327703476
1647056907.4969032,13,0.05777295306324959
1647057507.774802,14,0.05709914118051529
1647058109.158684,15,0.056760840117931366
1647058707.4596565,16,0.05565979331731796
1647059308.9059794,17,0.05483483150601387
1647059907.7556741,18,0.05499206483364105
1647060508.0353723,19,0.053605563938617706
1647061106.1647887,20,0.053253769874572754
1647061706.2214143,21,0.05308811366558075
1647062304.5223436,22,0.052830684930086136
1647062905.8338413,23,0.05222732201218605
1647063505.1009614,24,0.05254090204834938
1647064104.9261296,25,0.051831092685461044
1647064703.5656414,26,0.051230356097221375
1647065303.305304,27,0.050917211920022964
1647065901.261916,28,0.051625195890665054
1647066501.7291455,29,0.05046709254384041
1647067099.9330318,30,0.049912139773368835
1647067699.1349518,31,0.05042761564254761
1647068297.1750028,32,0.04993898421525955
1647068898.6237068,33,0.04957326874136925
1647069499.1263244,34,0.04936857521533966
1647070100.2530053,35,0.049938615411520004
1647070700.6984637,36,0.04890986904501915
1647071300.8028033,37,0.04888088256120682
1647071900.1421003,38,0.048743486404418945
1647072500.3076322,39,0.04822796583175659
1647073100.229526,40,0.04798370599746704
1647073700.5683212,41,0.048148248344659805
1647074298.6379821,42,0.048196062445640564
1647074897.4288495,43,0.0481671467423439
1647075496.7000802,44,0.047378674149513245
1647076096.7674499,45,0.047455500811338425
1647076696.3422694,46,0.046752188354730606
1647077296.606301,47,0.04698143154382706
1647077896.2755613,48,0.0472586452960968
1647078496.7364845,49,0.046892642974853516
1647079097.9873931,50,0.046571772545576096
1647079697.9542766,51,0.04664042219519615
1647080296.1330097,52,0.04636473208665848
1647080897.0643215,53,0.04643004387617111
1647081494.7995577,54,0.045712847262620926
1647082095.6049712,55,0.04587136581540108
1647082695.4173052,56,0.045704618096351624
1647083293.9380212,57,0.04554930701851845
1647083894.7904387,58,0.04502244293689728
1647084493.5788467,59,0.045450787991285324
1647085092.4765205,60,0.045213475823402405
1647085692.806685,61,0.0451517216861248
1647086292.077303,62,0.045018669217824936
1647086892.6215675,63,0.0448669008910656
1647087492.8427618,64,0.04469041898846626
1647088092.474281,65,0.044479064643383026
1647088690.014156,66,0.045592300593853
1647089288.4298441,67,0.045111894607543945
1647089888.2811973,68,0.044228993356227875
1647090487.7113583,69,0.044226158410310745
1647091087.6337826,70,0.04405058175325394
1647091686.3249161,71,0.0443153940141201
