Wall time,Step,Value
1647068796.4403708,0,0.0010000000474974513
1647069412.76576,1,0.0010000000474974513
1647070029.391348,2,0.0010000000474974513
1647070647.2694228,3,0.0010000000474974513
1647071262.716231,4,0.0010000000474974513
1647071880.1945748,5,0.0010000000474974513
1647072497.105474,6,0.0010000000474974513
1647073114.4913335,7,0.0010000000474974513
1647073729.5842094,8,0.0010000000474974513
1647074346.207702,9,0.0010000000474974513
1647074963.690108,10,0.0010000000474974513
1647075581.4461632,11,0.0010000000474974513
1647076197.8645372,12,0.0010000000474974513
1647076816.4420545,13,0.0010000000474974513
1647077431.1901014,14,0.0010000000474974513
1647078047.9435244,15,0.0010000000474974513
1647078664.6775537,16,0.0010000000474974513
1647079279.6972063,17,0.0010000000474974513
1647079895.3358061,18,0.0010000000474974513
1647080513.17467,19,0.0010000000474974513
1647081127.6051223,20,0.0010000000474974513
1647081742.981944,21,0.0010000000474974513
1647082356.9200153,22,0.0010000000474974513
1647082972.8707051,23,0.0010000000474974513
1647083588.5997026,24,0.0010000000474974513
1647084203.9810796,25,0.0010000000474974513
1647084818.1282825,26,0.0010000000474974513
1647085432.9916313,27,0.0010000000474974513
1647086048.6264205,28,0.0010000000474974513
1647086669.5715723,29,0.0010000000474974513
1647087285.8565533,30,0.0010000000474974513
1647087902.7793965,31,0.0010000000474974513
1647088517.9469774,32,0.0010000000474974513
1647089133.4743304,33,0.0010000000474974513
1647089747.9299705,34,0.0010000000474974513
1647090363.521561,35,0.0010000000474974513
1647090979.0287738,36,0.0010000000474974513
1647091595.1278546,37,0.0009986110962927341
1647092211.2833421,38,0.0009972222615033388
1647092825.605005,39,0.0009958333102986217
1647093441.3324075,40,0.0009944444755092263
1647094057.2518737,41,0.0009930555243045092
1647094672.4530854,42,0.0009916666895151138
1647095289.2860773,43,0.0009902777383103967
1647095903.9549625,44,0.0009888889035210013
1647096520.7252975,45,0.0009874999523162842
1647097134.0977485,46,0.0009861111175268888
1647097752.8810084,47,0.0009847221663221717
1647098370.129934,48,0.0009833333315327764
1647098987.6618557,49,0.000981944496743381
1647099604.2002583,50,0.0009805555455386639
1647100220.7341783,51,0.0009791667107492685
1647100836.85146,52,0.0009777777595445514
1647101451.1021788,53,0.0009763888665474951
1647102066.0362916,54,0.0009749999735504389
1647102679.2501132,55,0.0009736111387610435
1647103293.4420776,56,0.0009722222457639873
1647103907.828297,57,0.0009708333527669311
1647104522.8369093,58,0.0009694444597698748
1647105136.3100069,59,0.0009680555667728186
1647105752.2683856,60,0.0009666666737757623
1647106367.4105635,61,0.0009652777807787061
1647106981.6266484,62,0.0009638888877816498
1647107595.9465756,63,0.0009624999947845936
1647108210.4726524,64,0.0009611111017875373
1647108825.1126363,65,0.0009597222087904811
1647109439.049506,66,0.0009583333157934248
1647110055.122254,67,0.0009569444227963686
1647110670.5132823,68,0.0009555555297993124
1647111286.2233553,69,0.000954166695009917
