Filename,PM7 HOMO(eV),PM7 LUMO(eV)
c399,-8.526,-1.47
c407,-7.941,-0.771
c418,-7.889,-1.629
c426,-7.94,-1.907
c43,-8.424,-1.052
c435,-8.224,-1.542
c436,-8.058,-1.163
c438,-8.135,-1.15
c444,-8.102,-1.602
c452,-8.158,-1.795
c461,-8.163,-1.518
c484,-8.002,-1.596
c490,-8.207,-2.387
c499,-7.962,-0.737
c509,-7.825,-0.887
c527,-8.234,-1.429
c533,-8.186,-1.462
c54,-8.579,-0.856
c57,-8.478,-0.98
c598,-8.413,-0.569
c599,-8.775,-1.283
c608,-8.168,-1.164
c659,-8.315,-0.862
c672,-8.733,-0.935
c686,-8.855,-1.084
c69,-8.677,-1.991
c700,-7.94,-0.942
c710,-9.156,-1.693
c735,-8.878,-1.335
c749,-8.634,-1.158
c774,-8.803,-1.255
c779,-8.287,-1.148
c801,-9.122,-1.751
c808,-7.964,-0.989
c813,-8.787,-1.609
c847,-8.346,-1.633
c86,-8.27,-0.783
c88,-8.113,-0.312
c902,-8.432,-0.475
c917,-8.638,-1.703
c919,-7.901,-0.338
c935,-9.319,-1.473
c936,-8.576,-0.474
c960,-8.548,-0.869
c973,-8.441,-1.782
c979,-8.628,-1.967
c98,-8.336,-0.891
f100,-8.038,-0.997
f10005,-8.364,-1.144
f10026,-7.886,-0.693
f10040,-7.875,-0.693
f10042,-7.938,-0.689
f1005,-8.104,-1.207
f1006,-8.149,-0.982
f10075,-8.324,-0.935
f10077,-8.384,-1.341
f10084,-8.258,-1.419
f10094,-8.444,-1.851
f10113,-8.095,-0.775
f10120,-8.004,-1.131
f10134,-8.556,-0.727
f1016,-8.636,-0.449
f10186,-8.519,-1.025
f10194,-9.061,-1.155
f10201,-8.342,-1.502
f1022,-8.675,-1.259
f10234,-7.92,-1.43
f10245,-8.306,-0.983
f10269,-7.804,-0.727
f10278,-8.06,-0.559
f10284,-8.09,-0.65
f10304,-8.194,-0.328
f10383,-9.242,-1.856
f10396,-9.536,-1.923
f10406,-8.783,-2.28
f10414,-8.888,-2.199
f10415,-9.001,-1.695
f10423,-8.531,-1.524
f10432,-8.525,-1.4
f10447,-8.926,-1.5
f10449,-9.023,-1.4
f10469,-8.224,-1.375
f10473,-8.315,-1.311
f10494,-8.953,-2.022
f10496,-8.501,-2.215
f10508,-8.657,-1.409
f10513,-8.219,-1.328
f10528,-8.6,-1.235
f10546,-8.344,-1.359
f10566,-8.589,-0.889
f10590,-9.095,-1.392
f10599,-8.798,-1.702
f10605,-8.721,-1.72
f10618,-8.918,-1.766
f10620,-8.906,-1.764
f10634,-9.089,-1.384
f10635,-8.959,-1.347
f10641,-9.047,-1.448
f10644,-8.998,-1.333
f10697,-8.125,-1.203
f10700,-8.472,-1.017
f10703,-8.109,-1.001
f10726,-8.003,-1.681
f10744,-8.077,-1.226
f10773,-8.533,-0.672
f10778,-8.553,-0.861
f1080,-8.392,-1.307
f10810,-8.364,-1.935
f10830,-8.263,-1.932
f1085,-8.125,-0.448
f1087,-8.436,-0.417
f1093,-8.479,-0.148
f10937,-8.201,-0.704
f1094,-8.103,-0.154
f10983,-8.77,-1.191
f10991,-8.804,-1.25
f1102,-8.212,-0.562
f11039,-8.065,-0.594
f11069,-7.451,-0.996
f11071,-8.137,-0.504
f11080,-8.243,-1.251
f11099,-8.742,-1.657
f11109,-8.546,-1.134
f11136,-8.396,-0.579
f11165,-8.717,-0.981
f11189,-8.116,-0.622
f11192,-7.939,-0.501
f1130,-8.273,-0.559
f11422,-8.798,-1.917
f11430,-8.21,-1.154
f11439,-8.339,-1.33
f11453,-9.262,-1.768
f11456,-9.318,-1.805
f11458,-8.949,-2.035
f11475,-9.312,-1.626
f11476,-9.199,-1.704
f11477,-9.249,-1.787
f11500,-9.24,-1.858
f11507,-9.064,-1.633
f11514,-9.154,-1.672
f11531,-9.383,-1.644
f11554,-8.028,-1.76
f11564,-8.538,-1.349
f11580,-8.738,-1.191
f11584,-8.651,-1.112
f11604,-8.661,-1.332
f11605,-8.51,-1.288
f11619,-8.37,-1.169
f1166,-8.023,-0.679
f11671,-8.575,-1.63
f11690,-8.654,-1.596
f11702,-8.987,-1.188
f11715,-8.554,-1.62
f11725,-9.064,-1.219
f11726,-8.874,-1.464
f11740,-8.318,-1.009
f11799,-7.995,-0.836
f118,-7.828,-0.799
f11851,-8.451,-0.861
f11862,-8.3,-0.536
f11881,-7.993,-1.61
f11935,-8.959,-1.926
f1201,-8.273,-0.871
f12047,-8.341,-2.34
f12056,-8.489,-1.936
f1206,-8.407,-0.805
f12065,-8.631,-1.392
f12068,-8.644,-1.793
f12069,-8.498,-1.8
f12074,-8.118,-1.454
f12085,-8.118,-1.904
f12090,-8.538,-1.39
f12101,-8.362,-1.997
f12107,-8.394,-1.478
f12109,-8.463,-1.462
f12113,-9.218,-2.047
f12130,-8.236,-1.207
f12136,-8.235,-1.183
f1215,-8.425,-0.531
f12158,-8.412,-1.471
f12159,-8.399,-1.401
f12176,-8.191,-1.191
f12177,-8.176,-1.15
f12182,-8.163,-1.204
f12193,-8.431,-1.064
f12199,-8.701,-1.149
f12221,-7.919,-1.045
f12222,-7.891,-0.859
f12238,-7.984,-1.066
f1225,-8.137,-0.457
f1226,-8.044,-0.867
f12276,-7.914,-0.931
f12280,-7.301,-1.043
f12282,-8.42,-1.483
f12283,-8.374,-1.429
f12295,-8.593,-0.951
f12302,-8.922,-1.739
f12307,-7.845,-2.995
f12339,-8.571,-0.978
f1234,-7.928,-0.658
f12345,-8.338,-1.185
f12348,-8.312,-1.116
f12359,-8.277,-1.162
f12406,-8.165,-0.831
f12434,-7.975,-1.019
f12469,-8.12,-0.771
f12510,-8.048,-2.26
f12517,-8.438,-1.739
f12522,-8.29,-1.488
f12543,-9.343,-1.706
f12557,-8.554,-1.727
f12570,-8.518,-1.388
f1258,-8.139,-0.826
f12585,-8.716,-1.478
f12591,-8.136,-1.011
f12596,-8.509,-0.946
f12600,-8.402,-1.031
f12608,-8.764,-1.367
f12609,-8.553,-1.364
f12619,-8.295,-1.336
f12627,-8.217,-1.104
f12641,-8.406,-1.254
f12643,-8.514,-1.294
f12659,-8.583,-0.748
f1267,-7.723,-1.056
f12672,-8.451,-0.954
f12674,-8.517,-0.992
f12688,-8.349,-0.621
f12715,-7.995,-0.621
f1272,-7.999,-0.406
f12765,-8.415,-1.71
f12776,-8.608,-1.356
f1279,-7.795,-0.313
f12798,-8.385,-1.652
f12800,-8.603,-1.402
f12801,-8.49,-1.66
f12807,-8.596,-1.318
f12808,-8.669,-1.396
f12809,-8.368,-1.216
f12839,-7.846,-1.424
f12846,-8.265,-1.079
f12849,-7.838,-1.523
f12873,-8.107,-0.891
f12899,-8.124,-0.983
f12907,-8.013,-0.848
f12920,-8.355,-1.262
f12942,-8.301,-1.08
f12955,-8.174,-0.576
f1298,-7.487,-0.411
f1303,-7.974,-1.131
f13045,-8.775,-1.337
f13056,-8.729,-1.643
f13072,-8.128,-1.272
f13074,-8.124,-1.228
f13112,-8.568,-1.074
f13161,-8.139,-1.245
f13167,-8.325,-1.196
f13205,-8.545,-1.517
f13216,-8.116,-1.282
f13220,-8.359,-1.098
f13224,-8.409,-1.062
f13237,-8.219,-1.08
f13275,-8.015,-0.989
f13276,-8.042,-1.037
f13279,-8.302,-2.357
f1328,-7.819,-0.295
f1330,-8.177,-0.216
f13324,-8.564,-1.347
f1333,-7.327,-1.031
f13333,-8.313,-1.46
f13353,-8.125,-1.127
f13356,-8.29,-0.971
f13360,-8.152,-1.225
f1342,-8.039,-0.422
f13420,-8.601,-1.271
f13447,-8.8,-0.908
f13453,-8.693,0.529
f1346,-7.951,-0.658
f1358,-7.904,-0.178
f13589,-8.179,-0.523
f13595,-8.851,-0.623
f13615,-8.081,-0.926
f13638,-8.939,-0.85
f13639,-8.082,-0.463
f13656,-7.814,-0.836
f13659,-8.197,-0.477
f13676,-7.521,0.146
f13678,-7.623,-0.795
f1372,-7.614,-0.607
f13871,-8.843,-1.081
f13874,-8.68,-1.333
f13877,-8.886,-1.212
f13890,-9.28,-2.064
f13904,-8.952,-1.284
f13914,-8.908,-1.308
f13915,-8.523,-1.098
f13917,-8.883,-1.028
f13922,-8.847,-1.437
f13937,-8.398,-1.418
f13961,-8.517,-0.543
f13969,-8.478,-0.826
f13978,-8.322,-1.213
f13981,-8.108,-1.17
f13985,-9.135,-1.576
f13993,-8.651,-1.235
f14009,-8.82,-1.173
f14020,-8.253,-0.548
f14047,-9.046,-1.224
f14048,-9.068,-0.987
f14066,-8.612,-1.248
f14068,-8.71,-1.336
f14075,-9.265,-0.359
f1408,-8.327,-0.942
f14101,-8.147,-0.828
f14102,-8.081,0.17
f14281,-8.618,-1.827
f1430,-8.415,-0.848
f14315,-8.991,-1.8
f14370,-8.769,-1.706
f14371,-8.805,-1.27
f14378,-8.475,-1.1
f14389,-8.601,-0.948
f1439,-8.392,-1.223
f14402,-8.662,-0.806
f14404,-8.203,-1.25
f1441,-8.278,-1.107
f14427,-8.299,-0.971
f14511,-8.1,-1.641
f14520,-9.318,-1.369
f14521,-9.222,-1.404
f14534,-9.138,-1.755
f14536,-7.959,-0.192
f14544,-7.98,-0.235
f14563,-7.951,-0.693
f14566,-7.852,-1.044
f14568,-8.05,-0.934
f14571,-8.084,-0.898
f14577,-8.034,-0.417
f14598,-7.781,-0.76
f14603,-8.161,-1.086
f14618,-7.925,-0.529
f14624,-7.69,-0.317
f14630,-8.271,0.147
f14686,-7.779,0.137
f14688,-7.16,-0.297
f14697,-8.643,-1.078
f14733,-8.576,-0.988
f14743,-8.596,-0.583
f14763,-8.038,-0.8
f14794,-8.019,-0.511
f14797,-8.291,-0.596
f14799,-7.809,-0.971
f14814,-7.91,-1.11
f14819,-8.329,-0.599
f14820,-8.344,-0.48
f14837,-7.913,-0.927
f14839,-7.847,-0.662
f1484,-8.231,-0.926
f14859,-7.93,-0.092
f14861,-7.791,-0.805
f14871,-8.084,0.062
f15091,-8.95,-1.146
f15095,-9.157,-1.795
f15104,-8.151,-1.358
f15106,-8.483,-1.576
f1511,-8.124,-0.467
f15113,-9.034,-1.943
f15114,-8.893,-2.155
f15116,-9.554,-2.36
f15117,-9.689,-2.464
f15146,-8.376,-1.299
f1518,-8.043,-0.761
f15181,-8.611,-1.379
f1522,-7.858,-0.364
f15230,-8.914,-1.494
f15231,-8.976,-1.288
f15245,-9.357,-2.333
f15249,-9.925,-1.395
f15250,-9.966,-1.512
f15263,-9.125,-2.173
f15265,-9.585,-1.712
f15268,-9.185,-1.604
f15290,-9.048,-0.954
f15301,-8.346,-1.112
f15335,-8.445,-0.816
f1536,-8.293,-0.815
f1537,-8.091,-1.255
f15409,-8.67,-0.908
f15418,-8.172,-1.309
f15421,-8.53,-0.951
f15424,-8.383,-1.801
f15431,-9.382,-1.183
f15432,-9.167,-1.486
f1544,-8.275,-0.82
f15446,-8.492,-1.242
f1548,-8.325,-0.695
f15486,-7.934,-0.726
