Wall time,Step,Value
1647049102.7335646,0,0.001
1647049704.50959,1,0.0006747049046680331
1647050305.9585762,2,0.0006116947042755783
1647050910.466554,3,0.0005303575890138745
1647051512.0121617,4,0.0004763361648656428
1647052109.8532646,5,0.0004501267394516617
1647052707.627026,6,0.0004342504544183612
1647053309.0203114,7,0.00039984521572478116
1647053905.9580553,8,0.0003748847811948508
1647054508.751782,9,0.00037615891778841615
1647055106.5041516,10,0.00034515708102844656
1647055706.7550876,11,0.0003352027270011604
1647056305.8907802,12,0.00032910588197410107
1647056907.4965296,13,0.0003185569657944143
1647057507.7737284,14,0.0003113001585006714
1647058109.1584764,15,0.00030861160485073924
1647058707.4594297,16,0.0002969737397506833
1647059308.9057698,17,0.00028716831002384424
1647059907.755467,18,0.0002905005239881575
1647060508.035173,19,0.000275557569693774
1647061106.1642196,20,0.0002725427330005914
1647061706.2212121,21,0.00027132159448228776
1647062304.5221353,22,0.00026918001822195947
1647062905.8336368,23,0.00026432311278767884
1647063505.100757,24,0.00026688561774790287
1647064104.9259188,25,0.0002612642419990152
1647064703.5654273,26,0.000254987069638446
1647065303.3038561,27,0.00025120985810644925
1647065901.261729,28,0.000259030784945935
1647066501.7289422,29,0.00024828591267578304
1647067099.9328325,30,0.00024270996800623834
1647067699.1347458,31,0.000246881740167737
1647068297.1748,32,0.0002429843007121235
1647068898.6234915,33,0.00023995993251446635
1647069499.1255677,34,0.00023872368910815567
1647070100.2528265,35,0.000243080998188816
1647070700.698264,36,0.00023387555847875774
1647071300.802606,37,0.0002336545439902693
1647071900.1418867,38,0.00023325845540966839
1647072500.3074028,39,0.00022885204816702753
1647073100.229317,40,0.00022581736266147345
1647073700.5677648,41,0.00022737491235602647
1647074298.6377523,42,0.00022781574807595462
1647074897.4286473,43,0.00022710554185323417
1647075496.6998737,44,0.0002206492645200342
1647076096.7672424,45,0.00022142361558508128
1647076696.3420656,46,0.00021464360179379582
1647077296.6060932,47,0.00021708077110815793
1647077896.275167,48,0.00021879281848669052
1647078496.7362802,49,0.00021687356638722122
1647079097.987183,50,0.00021290400763973594
1647079697.9540596,51,0.00021376131917349994
1647080296.1328087,52,0.00021106898202560842
1647080897.0641239,53,0.00021195718727540225
1647081494.7993438,54,0.00020552439673338085
1647082095.6044433,55,0.0002073348587146029
1647082695.4170966,56,0.0002056492812698707
1647083293.9378128,57,0.00020412287267390639
1647083894.7902396,58,0.00019928925030399114
1647084493.5786152,59,0.00020290831162128597
1647085092.4763076,60,0.00020116695668548346
1647085692.806478,61,0.00020055993809364736
1647086292.076699,62,0.00020111659250687808
1647086892.6213715,63,0.00019814801635220647
1647087492.8425362,64,0.0001983551774173975
1647088092.474074,65,0.0001949471770785749
1647088690.013949,66,0.00020327132369857281
1647089288.4296422,67,0.00020111883350182325
1647089888.2809887,68,0.00019241237896494567
1647090487.7110047,69,0.00019270091434009373
1647091087.6335845,70,0.00019144246471114457
1647091686.3247132,71,0.00019387388601899147
