Wall time,Step,Value
1647049149.63944,0,0.0010000000474974513
1647049754.9928377,1,0.0010000000474974513
1647050354.4640172,2,0.0010000000474974513
1647050959.6202767,3,0.0010000000474974513
1647051560.0726113,4,0.0010000000474974513
1647052158.7821767,5,0.0010000000474974513
1647052756.0903385,6,0.0010000000474974513
1647053358.2455173,7,0.0010000000474974513
1647053954.3540647,8,0.0010000000474974513
1647054557.60664,9,0.0010000000474974513
1647055155.128838,10,0.0010000000474974513
1647055755.4557874,11,0.0010000000474974513
1647056355.2451284,12,0.0010000000474974513
1647056956.5606768,13,0.0010000000474974513
1647057556.3959675,14,0.0010000000474974513
1647058158.25814,15,0.0010000000474974513
1647058756.37829,16,0.0010000000474974513
1647059357.922157,17,0.0010000000474974513
1647059956.053325,18,0.0010000000474974513
1647060556.8014302,19,0.0010000000474974513
1647061154.658146,20,0.0010000000474974513
1647061754.9614863,21,0.0010000000474974513
1647062353.463914,22,0.0010000000474974513
1647062954.691501,23,0.0010000000474974513
1647063554.0310442,24,0.0010000000474974513
1647064153.6152608,25,0.0010000000474974513
1647064752.0852847,26,0.0010000000474974513
1647065352.160242,27,0.0010000000474974513
1647065949.8549635,28,0.0010000000474974513
1647066550.5953119,29,0.0010000000474974513
1647067148.7169445,30,0.0010000000474974513
1647067747.6428301,31,0.0010000000474974513
1647068345.8910398,32,0.0010000000474974513
1647068947.2669666,33,0.0010000000474974513
1647069547.8042307,34,0.0010000000474974513
1647070149.75775,35,0.0010000000474974513
1647070749.2588978,36,0.0010000000474974513
1647071349.655259,37,0.0009986110962927341
1647071949.3189287,38,0.0009972222615033388
1647072548.9946997,39,0.0009958333102986217
1647073148.7552557,40,0.0009944444755092263
1647073749.1227207,41,0.0009930555243045092
1647074347.3143253,42,0.0009916666895151138
1647074946.5538864,43,0.0009902777383103967
1647075545.3150928,44,0.0009888889035210013
1647076145.6627882,45,0.0009874999523162842
1647076745.0262454,46,0.0009861111175268888
1647077345.466276,47,0.0009847221663221717
1647077945.3897815,48,0.0009833333315327764
1647078545.501486,49,0.000981944496743381
1647079146.6511116,50,0.0009805555455386639
1647079746.719337,51,0.0009791667107492685
1647080344.773863,52,0.0009777777595445514
1647080946.1252174,53,0.0009763888665474951
1647081543.4023728,54,0.0009749999735504389
1647082144.3012106,55,0.0009736111387610435
1647082744.4013205,56,0.0009722222457639873
1647083343.0143275,57,0.0009708333527669311
1647083943.599422,58,0.0009694444597698748
1647084542.0307975,59,0.0009680555667728186
1647085141.2125463,60,0.0009666666737757623
1647085741.596433,61,0.0009652777807787061
1647086340.626495,62,0.0009638888877816498
1647086941.5381632,63,0.0009624999947845936
1647087541.4706955,64,0.0009611111017875373
1647088141.0941644,65,0.0009597222087904811
1647088738.4881024,66,0.0009583333157934248
1647089336.972621,67,0.0009569444227963686
1647089937.250094,68,0.0009555555297993124
1647090536.8369167,69,0.000954166695009917
1647091136.476946,70,0.0009527778020128608
